T;P;p;i;cp;lamd;a;mu;v;B;sig;Pr
0;1.013;999.9;0;4.212;5501;13.1;1788;1.789;-0.63;756.4;13.67
10;1.013;999.7;42.04;4.191;57.4;13.7;1306;1.306;0.7;741.6;9.52
20;1.013;998.2;83.91;4.183;59.9;14.3;1004;1.006;1.82;726.9;7.02
30;1.013;995.7;125.7;4.174;61.8;14.9;801.5;0.805;3.21;712.2;5.42
40;1.013;992.2;167.5;4.174;63.5;15.3;653.3;0.659;3.87;696.5;4.31
50;1.013;988.1;209.3;4.174;64.8;15.7;549.4;0.556;4.49;676.9;3.54
60;1.013;983.2;251.1;4.179;65.9;16;469.9;0.478;5.11;662.2;2.98
70;1.013;977.8;293;4.187;66.8;16.3;406.1;0.415;5.7;643.5;2.55
80;1.013;971.8;335;4.195;67.4;16.6;355.1;0.365;6.32;625.9;2.21
90;1.013;965.3;377;4.208;68;16.8;314.9;0.326;6.95;607.2;1.95
100;1.013;958.4;419.1;4.22;68.3;16.9;282.5;0.295;7.52;588.6;1.75
110;1.43;951;461.4;4.233;68.5;17;259;0.272;8.08;569;1.6
120;1.98;943.1;503.7;4.25;68.6;17.1;237.4;0.252;8.64;548.4;1.47
130;2.7;934.8;546.4;4.265;68.6;17.2;217.8;0.233;9.19;528.8;1.36
140;3.61;926.1;589.1;4.287;68.5;17.2;201.1;0.217;9.72;507.2;1.26
150;4.76;917;632.2;4.313;68.4;17.3;186.4;0.203;10.3;486.6;1.17
160;6.18;907.4;675.4;4.346;68.3;17.3;173.6;0.191;10.7;466;1.1
170;7.92;897.3;719.3;4.38;67.9;17.3;162.8;0.181;11.3;443.4;1.05
180;10.03;886.9;763.3;4.417;67.4;17.2;153;0.173;11.9;422.8;1
190;12.55;876;807.8;4.459;67;17.1;144.2;0.165;12.6;400.2;0.96
200;15.55;863;852.5;4.505;66.3;17;136.4;0.158;13.3;376.7;0.93
210;19.08;852.8;897.7;4.555;65.5;16.9;130.5;0.153;14.1;354.1;0.91
220;23.2;840.3;943.7;4.614;64.5;16.6;124.6;0.148;14.8;331.6;0.89
230;27.98;827.3;990.2;4.681;63.7;16.4;119.7;0.145;15.9;310;0.88
240;33.48;813.6;1037.5;4.766;62.8;16.2;114.8;0.141;16.8;285.5;0.87
250;39.78;799;1085.7;4.844;61.8;15.9;109.9;0.137;18.1;261.9;0.86
260;46.94;784;1135.1;4.919;60.5;15.6;105.9;0.135;19.1;237.4;0.87
270;55.05;767.9;1185.3;5.07;59;15.1;102;0.133;21.6;214.8;0.88
280;64.19;750.7;1236.8;5.23;57.4;14.6;98.1;0.131;23.7;191.3;0.9
290;74.45;732.3;1290;5.485;55.8;13.9;94.2;0.129;26.2;168.7;0.93
300;85.9;712.5;1344.9;5.736;54;13.2;91.2;0.128;29.2;144.2;0.97
310;98.7;691.1;1402.2;6.071;52.3;12.5;88.8;0.128;32.9;120.7;1.03
320;112.9;657.1;1462.1;1462.1;50.6;11.5;85.3;0.128;38.2;98.1;1.11
330;128.65;640.2;1526.2;1526.2;48.4;10.4;81.4;0.127;43.3;76.71;1.22
340;146.08;610.1;1594.8;1594.8;45.7;9.17;77.5;0.127;53.4;56.7;1.39
350;165.37;574.4;1671.4;1671.4;43;7.88;72.6;0.126;66.8;38.16;1.6
360;186.71;528;1761.5;1761.5;39.5;5.36;66.7;0.126;109;20.21;2.35
370;210.53;450.5;1892.5;1892.5;33.7;1.86;56.9;0.126;264;4.709;6.79